"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 13:19:11 GMT 2024","Wed Jul 10 13:19:20 GMT 2024","8527","CrossBrowser","ChromeTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 13:19:20 GMT 2024","Wed Jul 10 13:19:25 GMT 2024","5259","CrossBrowser","ChromiumTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 13:19:18 GMT 2024","Wed Jul 10 13:19:19 GMT 2024","1670","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 13:19:20 GMT 2024","Wed Jul 10 13:19:24 GMT 2024","3423","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Wed Jul 10 13:18:44 GMT 2024","Wed Jul 10 13:18:44 GMT 2024","1","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Wed Jul 10 13:19:11 GMT 2024","Wed Jul 10 13:19:17 GMT 2024","5487","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Wed Jul 10 13:18:44 GMT 2024","Wed Jul 10 13:18:44 GMT 2024","9","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Wed Jul 10 13:19:46 GMT 2024","Wed Jul 10 13:19:50 GMT 2024","3119","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 13:19:20 GMT 2024","Wed Jul 10 13:19:22 GMT 2024","1629","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Wed Jul 10 13:19:24 GMT 2024","Wed Jul 10 13:19:26 GMT 2024","1917","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 13:19:46 GMT 2024","Wed Jul 10 13:19:49 GMT 2024","2370","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Wed Jul 10 13:19:52 GMT 2024","Wed Jul 10 13:19:55 GMT 2024","2338","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 13:19:46 GMT 2024","Wed Jul 10 13:19:53 GMT 2024","6558","CrossBrowser","FirefoxTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 13:19:11 GMT 2024","Wed Jul 10 13:19:18 GMT 2024","6331","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
