"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 01:36:22 GMT 2024","Thu Jul 11 01:36:24 GMT 2024","2315","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jul 11 01:36:18 GMT 2024","Thu Jul 11 01:36:24 GMT 2024","5987","CrossBrowser","ChromiumTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Thu Jul 11 01:36:18 GMT 2024","Thu Jul 11 01:36:22 GMT 2024","3307","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jul 11 01:36:27 GMT 2024","Thu Jul 11 01:36:31 GMT 2024","4131","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jul 11 01:36:10 GMT 2024","Thu Jul 11 01:36:18 GMT 2024","7558","CrossBrowser","ChromeTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Thu Jul 11 01:36:02 GMT 2024","Thu Jul 11 01:36:02 GMT 2024","9","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Thu Jul 11 01:36:10 GMT 2024","Thu Jul 11 01:36:15 GMT 2024","5056","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jul 11 01:36:18 GMT 2024","Thu Jul 11 01:36:20 GMT 2024","1972","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Thu Jul 11 01:36:27 GMT 2024","Thu Jul 11 01:36:30 GMT 2024","2981","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Thu Jul 11 01:36:35 GMT 2024","Thu Jul 11 01:36:39 GMT 2024","3928","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jul 11 01:36:10 GMT 2024","Thu Jul 11 01:36:14 GMT 2024","3408","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"unknown","Thu Jul 11 01:36:02 GMT 2024","Thu Jul 11 01:36:02 GMT 2024","1","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Thu Jul 11 01:36:27 GMT 2024","Thu Jul 11 01:36:34 GMT 2024","6842","CrossBrowser","FirefoxTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Thu Jul 11 01:36:16 GMT 2024","Thu Jul 11 01:36:18 GMT 2024","2311","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
